"","Year","Datetime","Stage","Stadium","City","Home_Team_Name","Home_Team_Goals","Away_Team_Goals","Away_Team_Name","Win_conditions","Attendance","H_time_Home_Goals","H_time_Away_Goals","Referee","Assistant_1","Assistant_2","RoundID","MatchID","Home_Team_Initials","Away_Team_Initials","Winner","Winner_Goals"
"706",2006,"05 Jul 2006 - 21:00","Semi-finals","FIFA World Cup Stadium, Munich","Munich","Portugal",0,1,"France",NA,66000,0,1,"LARRIONDA Jorge (URU)","RIAL Walter (URU)","FANDINO Pablo (URU)",97410400,97410062,"POR","FRA","FRA",1
"707",2006,"08 Jul 2006 - 21:00","Third place","Gottlieb-Daimler-Stadion","Stuttgart","Germany",3,1,"Portugal",NA,52000,0,0,"KAMIKAWA Toru (JPN)","HIROSHIMA Yoshikazu (JPN)","KIM Dae Young (KOR)",97410500,97410063,"GER","POR","GER",3
"708",2006,"09 Jul 2006 - 20:00","Final","Olympiastadion","Berlin","Italy",5,3,"France","Italy win on penalties (5 - 3)",69000,0,0,"ELIZONDO Horacio (ARG)","GARCIA Dario (ARG)","OTERO Rodolfo (ARG)",97410600,97410064,"ITA","FRA","ITA",5
"709",2010,"11 Jun 2010 - 16:00","Group A","Soccer City Stadium","Johannesburg","South Africa",1,1,"Mexico",NA,84490,0,0,"Ravshan IRMATOV (UZB)","ILYASOV Rafael (UZB)","KOCHKAROV Bakhadyr (KGZ)",249722,300061454,"RSA","MEX","Tie",1
"710",2010,"11 Jun 2010 - 20:30","Group A","Cape Town Stadium","Cape Town","Uruguay",0,0,"France",NA,64100,0,0,"NISHIMURA Yuichi (JPN)","SAGARA Toru (JPN)","JEONG Hae Sang (KOR)",249722,300061453,"URU","FRA","Tie",0
"711",2010,"12 Jun 2010 - 13:30","Group B","Port Elizabeth Stadium","Nelson Mandela Bay/Port Elizabeth","Korea Republic",2,0,"Greece",NA,31513,1,0,"HESTER Michael (NZL)","HINTZ Jan Hendrik (NZL)","MAKASINI Tevita (TGA)",249722,300061459,"KOR","GRE","KOR",2
"712",2010,"12 Jun 2010 - 16:00","Group B","Ellis Park Stadium","Johannesburg","Argentina",1,0,"Nigeria",NA,55686,1,0,"Wolfgang STARK (GER)","SALVER Jan-Hendrik (GER)","PICKEL Mike (GER)",249722,300061460,"ARG","NGA","ARG",1
"713",2010,"12 Jun 2010 - 20:30","Group C","Royal Bafokeng Sports Palace","Phokeng","England",1,1,"USA",NA,38646,1,1,"SIMON Carlos (BRA)","HAUSMANN Altemir (BRA)","BRAATZ Roberto (BRA)",249722,300061466,"ENG","USA","Tie",1
"714",2010,"13 Jun 2010 - 13:30","Group C","Peter Mokaba Stadium","Polokwane","Algeria",0,1,"Slovenia",NA,30325,0,0,"BATRES Carlos (GUA)","LEAL Leonel (CRC)","PASTRANA Carlos (HON)",249722,300061465,"ALG","SVN","SVN",1
"715",2010,"13 Jun 2010 - 16:00","Group D","Loftus Versfeld Stadium","Tshwane/Pretoria","Serbia",0,1,"Ghana",NA,38833,0,0,"BALDASSI Hector (ARG)","CASAS Ricardo (ARG)","MAIDANA Hernan (ARG)",249722,300061471,"SRB","GHA","GHA",1
"716",2010,"13 Jun 2010 - 20:30","Group D","Durban Stadium","Durban","Germany",4,0,"Australia",NA,62660,2,0,"RODRIGUEZ Marco (MEX)","CAMARGO Jose Luis (MEX)","MORIN Alberto (MEX)",249722,300111116,"GER","AUS","GER",4
"717",2010,"14 Jun 2010 - 13:30","Group E","Soccer City Stadium","Johannesburg","Netherlands",2,0,"Denmark",NA,83465,0,0,"St�phane LANNOY (FRA)","DANSAULT Eric (FRA)","UGO Laurent (FRA)",249722,300061478,"NED","DEN","NED",2
"718",2010,"14 Jun 2010 - 16:00","Group E","Free State Stadium","Mangaung/Bloemfontein","Japan",1,0,"Cameroon",NA,30620,1,0,"Oleg�rio BENQUEREN�A (POR)","CARDINAL Jose (POR)","MIRANDA Bertino (POR)",249722,300061477,"JPN","CMR","JPN",1
"719",2010,"14 Jun 2010 - 20:30","Group F","Cape Town Stadium","Cape Town","Italy",1,1,"Paraguay",NA,62869,0,1,"ARCHUNDIA Benito (MEX)","VERGARA Hector (CAN)","TORRENTERA Marvin (MEX)",249722,300061484,"ITA","PAR","Tie",1
